bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
road,carbon fiber,589.89,59.65,24.82,nimh,290W,6.8
road,steel,379.49,60.15,21.45,lead acid,188W,4.94
folding,carbon fiber,508.25,78.57,26.93,lead acid,222W,4.77
mountain,aluminum,335.07,33.32,30.42,lead acid,237W,4.38
folding,carbon fiber,720.46,50.49,20.89,nimh,275W,7.34
road,steel,618.41,57.73,16.25,lead acid,218W,6.56
standard,carbon fiber,609.1,46.84,17.9,nimh,230W,4.94
standard,aluminum,639.72,42.69,22.47,nimh,291W,3.65
road,carbon fiber,372.89,69.77,24.03,lead acid,185W,6.53
folding,aluminum,377.09,92.46,22.33,lead acid,305W,6.03
mountain,carbon fiber,534.97,75.55,26.07,li-ion,170W,7.99
standard,carbon fiber,631.32,50.0,23.46,nimh,255W,9.07
road,aluminum,617.51,81.56,23.34,lead acid,298W,10.25
mountain,carbon fiber,753.78,53.47,24.38,lead acid,305W,8.92
road,steel,732.77,92.94,32.83,lead acid,234W,6.31
folding,aluminum,254.93,76.71,27.18,li-ion,257W,4.98
mountain,aluminum,548.17,47.45,27.91,-,276W,6.43
road,aluminum,660.13,58.23,21.94,nimh,229W,8.23
road,steel,300.85,55.27,19.54,li-ion,221W,5.27
road,aluminum,756.78,74.2,26.17,nimh,231W,8.31
standard,steel,781.09,42.19,21.72,lead acid,220W,6.97
road,steel,219.51,55.75,37.41,lead acid,242W,3.96
road,carbon fiber,658.63,74.13,28.98,nimh,264W,6.17
road,steel,549.97,55.52,26.47,lead acid,186W,10.53
mountain,steel,733.67,67.53,22.34,-,258W,10.3
standard,steel,262.73,71.1,15.81,lead acid,286W,7.68
road,carbon fiber,326.66,61.14,30.03,lead acid,251W,7.39
road,aluminum,237.22,67.73,30.86,li-ion,245W,4.96
standard,carbon fiber,403.8,67.73,14.77,li-ion,258W,8.76
road,carbon fiber,675.14,44.73,19.95,li-ion,261W,7.68
standard,steel,689.84,70.44,34.72,lead acid,273W,5.08
standard,carbon fiber,254.03,49.34,26.17,lead acid,245W,7.86
folding,aluminum,770.59,73.76,22.35,li-ion,281W,6.39
road,aluminum,388.79,61.88,22.62,nimh,324W,7.17
road,carbon fiber,613.61,84.32,21.7,nimh,317W,7.78
folding,aluminum,514.56,51.32,20.0,nimh,249W,6.7
road,steel,736.37,32.03,30.62,nimh,187W,9.78
standard,carbon fiber,336.87,94.23,34.48,nimh,187W,6.73
folding,carbon fiber,320.96,47.81,35.96,-,214W,7.64
road,steel,281.04,75.36,14.72,li-ion,290W,3.33
road,steel,458.73,49.49,24.78,lead acid,250W,5.48
road,aluminum,644.82,88.08,33.1,li-ion,328W,7.91
standard,aluminum,630.42,69.09,30.89,lead acid,238W,7.67
folding,aluminum,745.67,54.42,24.85,nimh,258W,7.6
road,carbon fiber,710.86,55.78,23.46,li-ion,176W,8.47
road,carbon fiber,529.86,88.8,20.32,-,207W,6.66
standard,steel,453.63,68.22,17.39,-,319W,4.94
road,carbon fiber,368.98,59.43,26.4,li-ion,382W,8.28
mountain,carbon fiber,698.25,43.29,21.36,nimh,169W,6.54
mountain,steel,369.58,34.73,,lead acid,234W,4.54
road,carbon fiber,563.48,114.66,22.73,lead acid,243W,8.97
mountain,steel,526.86,73.08,24.78,nimh,231W,5.39
road,steel,340.77,93.33,26.8,nimh,298W,4.81
road,carbon fiber,269.03,59.43,17.61,li-ion,269W,4.75
mountain,aluminum,646.92,69.83,26.52,lead acid,227W,7.78
road,STEel,683.54,47.02,20.05,nimh,251W,7.44
mountain,aluminum,373.49,71.39,18.95,lead acid,262W,7.65
mountain,steel,649.62,46.35,33.62,nimh,312W,7.97
road,steel,701.55,64.49,23.06,-,282W,7.96
mountain,aluminum,459.33,86.38,27.74,lead acid,292W,6.51
mountain,carbon fiber,661.03,74.57,26.76,li-ion,255W,8.4
standard,steel,571.29,57.9,21.92,li-ion,245W,4.55
road,aluminum,334.77,21.16,25.5,lead acid,223W,5.99
mountain,steel,663.13,60.39,21.36,nimh,273W,7.6
standard,steel,756.18,58.12,23.2,nimh,254W,9.29
standard,aluminum,471.04,74.81,28.29,nimh,282W,7.57
mountain,aluminum,392.7,44.98,24.08,nimh,327W,5.14
mountain,steel,545.77,59.47,29.56,nimh,328W,6.61
folding,carbon fiber,776.89,54.97,24.64,lead acid,213W,6.8
mountain,carbon fiber,350.98,72.74,24.08,lead acid,177W,7.21
folding,aluminum,497.75,67.87,23.67,li-ion,300W,5.2
folding,STEel,471.64,41.82,26.26,nimh,328W,7.23
road,steel,660.73,70.09,24.99,li-ion,181W,4.97
road,steel,376.49,55.58,23.11,lead acid,202W,6.62
mountain,carbon fiber,625.61,57.11,26.04,lead acid,264W,6.99
road,carbon fiber,764.58,61.6,33.28,lead acid,100W,6.55
standard,carbon fiber,290.05,56.3,28.0,nimh,290W,4.49
road,steel,441.92,67.27,26.45,li-ion,293W,6.64
folding,aluminum,429.31,37.56,25.53,li-ion,296W,6.88
road,carbon fiber,242.32,83.74,23.5,lead acid,222W,4.64
mountain,carbon fiber,344.97,52.43,19.17,lead acid,370W,6.05
mountain,carbon fiber,638.82,65.07,24.77,li-ion,250W,6.43
mountain,aluminum,357.28,49.28,,li-ion,307W,7.93
mountain,steel,748.37,44.03,28.77,nimh,274W,8.49
road,aluminum,468.93,53.72,25.69,nimh,248W,5.73
standard,aluminum,433.82,49.51,33.3,li-ion,225W,7.62
standard,steel,437.12,30.44,35.04,lead acid,255W,6.14
mountain,aluminum,487.84,67.0,24.24,nimh,257W,6.92
folding,steel,362.38,49.88,28.02,lead acid,248W,7.06
standard,aluminum,548.47,63.23,20.54,nimh,241W,6.76
standard,carbon fiber,276.54,66.08,26.94,lead acid,200W,5.19
folding,steel,589.59,35.81,21.46,nimh,242W,4.3
mountain,carbon fiber,410.41,30.11,25.57,nimh,174W,6.44
standard,aluminum,408.3,76.79,25.1,nimh,246W,4.84
standard,aluminum,221.31,69.95,21.5,li-ion,277W,4.31
road,carbon fiber,589.29,24.88,33.07,nimh,247W,6.56
mountain,carbon fiber,422.11,57.78,27.27,lead acid,272W,2.98
mountain,carbon fiber,703.65,72.68,23.26,li-ion,254W,5.57
mountain,aluminum,223.41,85.1,29.23,lead acid,260W,7.13
road,aluminum,266.93,68.88,18.3,-,261W,6.42
mountain,carbon fiber,699.45,63.85,26.72,lead acid,172W,8.7
road,carbon fiber,356.08,45.94,31.36,li-ion,294W,4.74
folding,carbon fiber,268.73,53.12,26.25,lead acid,234W,3.03
road,steel,232.42,67.91,26.02,li-ion,260W,4.24
folding,aluminum,728.56,77.84,38.63,li-ion,304W,8.43
standard,aluminum,206.3,46.16,35.19,lead acid,273W,5.88
mountain,aluminum,432.02,54.17,20.37,lead acid,219W,8.58
road,steel,356.68,64.01,28.27,nimh,196W,7.19
road,carbon fiber,688.94,53.06,22.52,nimh,230W,8.17
mountain,aluminum,486.34,77.72,23.85,-,321W,6.15
road,carbon fiber,224.91,54.53,26.65,nimh,306W,4.56
standard,carbon fiber,436.52,75.71,24.63,nimh,202W,5.54
mountain,carbon fiber,345.27,67.77,27.28,nimh,286W,3.82
folding,steel,634.92,35.92,19.35,li-ion,218W,7.53
mountain,aluminum,435.32,42.25,21.91,li-ion,266W,5.99
folding,steel,307.75,57.16,31.14,nimh,283W,6.2
standard,STEel,515.16,79.42,26.42,nimh,215W,7.96
mountain,carbon fiber,523.56,52.23,25.04,li-ion,295W,6.62
folding,aluminum,217.11,57.19,25.36,nimh,204W,7.01
road,steel,491.15,83.85,16.44,lead acid,301W,5.26
road,aluminum,568.28,54.99,18.44,nimh,271W,8.29
standard,carbon fiber,291.85,48.1,17.94,lead acid,290W,1.96
road,steel,332.67,39.93,29.61,lead acid,284W,3.25
road,aluminum,797.9,44.43,24.44,lead acid,238W,6.12
road,carbon fiber,355.18,54.12,34.38,li-ion,198W,4.4
folding,carbon fiber,674.84,68.91,29.14,lead acid,181W,5.79
standard,carbon fiber,344.67,72.73,26.88,li-ion,200W,5.32
folding,steel,240.82,76.38,24.15,lead acid,240W,5.19
folding,carbon fiber,205.4,60.06,22.64,nimh,245W,4.94
standard,aluminum,289.74,63.14,16.24,li-ion,256W,4.07
standard,steel,434.12,47.7,19.9,nimh,132W,4.09
mountain,aluminum,510.06,54.34,26.75,lead acid,233W,8.56
folding,steel,674.54,56.26,27.51,-,264W,8.25
road,steel,516.06,72.94,25.41,lead acid,379W,4.17
standard,carbon fiber,571.89,76.09,36.52,li-ion,168W,5.21
folding,carbon fiber,466.83,78.8,,lead acid,320W,6.54
folding,steel,454.23,85.63,24.21,lead acid,220W,7.84
road,aluminum,718.06,34.82,23.35,lead acid,285W,8.94
road,steel,550.28,60.17,19.25,lead acid,243W,9.01
mountain,steel,562.28,83.37,21.89,li-ion,281W,5.42
standard,carbon fiber,461.73,45.74,28.0,lead acid,230W,5.06
road,carbon fiber,400.8,68.42,22.69,lead acid,215W,6.99
road,aluminum,539.77,65.57,33.0,-,282W,5.71
folding,carbon fiber,493.25,40.03,29.89,li-ion,367W,8.52
road,aluminum,202.4,63.08,28.26,li-ion,196W,4.46
standard,carbon fiber,570.09,60.85,31.39,li-ion,251W,7.04
standard,steel,733.37,54.97,23.84,li-ion,226W,6.03
mountain,steel,266.03,79.84,18.36,li-ion,242W,7.18
standard,steel,624.71,53.43,29.68,lead acid,178W,6.54
standard,aluminum,414.91,24.82,37.53,lead acid,252W,7.59
road,carbon fiber,673.64,59.53,24.9,lead acid,204W,8.21
folding,carbon fiber,799.4,51.76,25.85,nimh,254W,7.31
folding,steel,315.26,83.69,19.59,li-ion,327W,4.35
standard,aluminum,684.14,44.87,22.96,-,188W,9.06
folding,steel,291.25,55.35,20.47,lead acid,289W,3.63
mountain,aluminum,593.5,75.23,31.48,li-ion,305W,5.89
folding,aluminum,357.88,80.45,25.67,nimh,259W,7.05
road,steel,646.02,34.87,20.31,li-ion,238W,5.78
road,aluminum,626.21,68.16,,nimh,186W,5.04
mountain,steel,472.84,48.97,30.66,lead acid,256W,8.08
folding,aluminum,612.11,50.48,23.81,nimh,205W,4.97
mountain,aluminum,556.58,60.39,36.63,nimh,229W,5.14
road,steel,680.24,57.83,20.43,lead acid,192W,9.53
mountain,carbon fiber,204.5,66.86,34.68,li-ion,256W,4.8
road,steel,658.33,38.83,36.52,li-ion,178W,8.28
standard,steel,347.97,66.6,27.35,li-ion,209W,5.09
road,carbon fiber,718.96,61.54,27.16,nimh,244W,7.76
road,steel,758.28,55.23,27.02,li-ion,258W,8.85
folding,carbon fiber,698.85,46.13,19.78,li-ion,298W,7.73
mountain,steel,396.3,65.73,24.28,lead acid,215W,7.11
folding,aluminum,299.35,66.17,23.58,li-ion,270W,4.25
road,carbon fiber,658.93,50.37,25.9,li-ion,208W,8.8
folding,steel,378.59,51.48,28.96,li-ion,224W,4.65
standard,steel,739.67,72.64,22.23,nimh,217W,6.01
mountain,steel,382.19,70.67,26.81,li-ion,298W,5.76
mountain,STEel,731.57,66.89,23.3,li-ion,267W,6.67
standard,carbon fiber,619.31,67.45,22.36,-,302W,7.19
folding,aluminum,215.01,53.26,33.72,nimh,247W,6.76
road,aluminum,592.0,59.38,28.98,nimh,220W,6.47
mountain,steel,598.3,81.34,23.1,nimh,218W,6.38
standard,carbon fiber,424.21,75.43,22.26,nimh,256W,4.02
standard,aluminum,331.77,59.71,26.94,li-ion,349W,5.96
mountain,carbon fiber,531.37,61.46,24.26,lead acid,195W,7.78
folding,carbon fiber,312.56,91.65,31.43,li-ion,263W,6.35
folding,steel,789.19,52.61,25.05,lead acid,236W,9.31
road,aluminum,786.79,85.99,29.27,lead acid,204W,6.33
road,steel,419.71,77.28,29.31,li-ion,195W,6.51
standard,aluminum,380.99,93.09,26.02,nimh,320W,5.51
folding,steel,481.54,67.58,16.11,li-ion,294W,5.39
mountain,steel,601.6,79.86,,li-ion,262W,7.91
road,carbon fiber,234.22,67.0,27.48,li-ion,233W,7.53
standard,carbon fiber,348.57,56.29,24.91,lead acid,227W,6.0
standard,steel,261.53,43.44,20.98,nimh,270W,6.51
mountain,steel,428.41,46.57,25.29,li-ion,172W,7.91
road,aluminum,301.15,73.34,26.83,lead acid,244W,5.37
mountain,steel,756.48,68.83,22.95,nimh,264W,6.45
standard,carbon fiber,684.74,72.62,28.5,li-ion,238W,7.51
road,steel,384.29,44.69,23.5,li-ion,250W,6.89
folding,steel,737.87,94.35,17.07,lead acid,315W,7.02
mountain,carbon fiber,395.4,46.99,27.1,li-ion,244W,5.31
standard,aluminum,625.91,29.37,25.84,lead acid,207W,6.99
road,carbon fiber,482.14,66.95,35.96,li-ion,146W,8.95
folding,carbon fiber,299.95,71.04,24.71,lead acid,157W,6.52
standard,aluminum,248.32,59.71,18.35,lead acid,196W,6.34
mountain,aluminum,724.66,55.9,31.97,nimh,192W,5.07
road,aluminum,263.33,24.69,21.49,lead acid,181W,6.46
road,aluminum,700.35,84.63,26.36,lead acid,319W,8.44
standard,carbon fiber,371.39,45.41,27.81,li-ion,217W,8.14
folding,carbon fiber,542.77,75.68,23.49,nimh,237W,5.44
standard,carbon fiber,706.05,60.82,17.62,li-ion,222W,5.86
road,aluminum,561.68,37.47,27.66,li-ion,231W,6.4
road,aluminum,385.79,44.7,14.68,lead acid,330W,7.22
road,steel,508.55,60.8,20.43,li-ion,264W,10.93
mountain,aluminum,675.44,62.53,18.41,nimh,216W,7.92
standard,carbon fiber,470.74,52.11,,li-ion,274W,8.62
road,carbon fiber,221.91,44.53,22.38,nimh,215W,1.36
mountain,carbon fiber,572.49,67.87,19.04,nimh,286W,8.59
standard,carbon fiber,293.65,69.24,18.47,lead acid,189W,4.38
road,carbon fiber,329.06,41.45,25.96,li-ion,245W,5.14
folding,STEel,752.88,50.31,30.69,nimh,305W,8.04
mountain,steel,236.92,60.01,32.79,nimh,342W,3.55
folding,carbon fiber,565.58,60.23,32.28,lead acid,233W,6.24
mountain,steel,383.99,58.39,18.58,lead acid,226W,7.25
mountain,steel,429.61,57.2,29.74,lead acid,207W,8.76
folding,steel,218.91,45.72,25.86,lead acid,253W,2.34
standard,steel,656.83,56.01,26.04,li-ion,279W,6.48
mountain,aluminum,537.67,25.0,28.53,li-ion,259W,7.31
folding,steel,452.43,65.05,27.37,lead acid,353W,5.29
folding,aluminum,346.17,51.94,28.27,lead acid,320W,2.23
mountain,carbon fiber,511.56,58.42,27.38,lead acid,240W,6.07
standard,aluminum,537.37,38.63,17.85,-,263W,7.97
road,aluminum,269.33,52.14,19.55,nimh,208W,6.84
folding,aluminum,754.08,41.02,22.53,lead acid,277W,7.6
standard,carbon fiber,459.03,71.2,21.03,nimh,206W,4.34
standard,aluminum,743.87,43.79,29.92,lead acid,188W,10.26
standard,carbon fiber,300.25,53.28,30.09,li-ion,255W,4.53
standard,carbon fiber,279.54,64.33,30.59,li-ion,293W,5.53
road,aluminum,325.16,40.14,14.65,nimh,264W,4.97
standard,carbon fiber,241.72,79.08,22.83,li-ion,257W,10.16
road,carbon fiber,366.88,81.07,19.06,nimh,258W,5.28
standard,aluminum,358.48,75.27,29.88,lead acid,238W,4.13
folding,carbon fiber,399.0,63.48,21.18,lead acid,277W,7.07
road,carbon fiber,538.87,74.17,19.46,nimh,220W,6.81
standard,steel,200.6,84.04,30.98,lead acid,332W,3.92
folding,carbon fiber,709.05,42.59,16.97,nimh,303W,9.36
folding,carbon fiber,422.41,68.84,23.47,li-ion,209W,6.78
road,steel,403.2,51.98,38.85,lead acid,264W,3.3
standard,steel,321.86,51.23,14.58,li-ion,288W,5.72
mountain,carbon fiber,436.22,84.0,24.6,lead acid,324W,6.64
mountain,steel,644.22,64.4,28.35,lead acid,267W,8.87
mountain,carbon fiber,768.78,33.52,19.58,lead acid,188W,6.71
road,carbon fiber,287.64,70.88,21.0,lead acid,274W,5.82
standard,steel,417.91,54.11,23.74,nimh,274W,7.14
folding,aluminum,745.37,49.87,27.15,lead acid,229W,8.25
folding,aluminum,415.81,71.95,26.0,li-ion,250W,5.4
standard,carbon fiber,297.25,68.61,24.35,lead acid,204W,5.76
standard,carbon fiber,388.49,49.65,31.24,lead acid,191W,7.22
standard,carbon fiber,308.05,64.27,24.35,nimh,186W,4.09
mountain,steel,504.95,50.34,,nimh,330W,7.48
mountain,steel,775.69,59.4,22.37,li-ion,193W,7.13
folding,carbon fiber,411.31,50.08,25.46,li-ion,276W,7.59
standard,steel,465.33,56.26,30.67,li-ion,171W,8.74
folding,aluminum,211.11,54.85,,nimh,237W,5.15
road,steel,581.19,80.16,21.7,lead acid,280W,9.87
road,steel,318.26,78.78,19.36,nimh,275W,4.82
folding,steel,746.87,38.25,25.87,nimh,259W,10.86
mountain,steel,667.33,55.39,24.44,nimh,216W,7.79
folding,carbon fiber,432.62,60.89,25.43,li-ion,240W,5.67
mountain,steel,715.96,72.4,26.44,-,252W,8.49
mountain,aluminum,633.42,47.17,24.45,nimh,269W,7.39
mountain,carbon fiber,706.95,87.5,21.56,li-ion,217W,6.53
folding,aluminum,502.85,69.21,17.64,li-ion,254W,6.16
mountain,aluminum,342.27,55.02,20.47,nimh,253W,7.99
standard,carbon fiber,256.73,67.8,23.41,nimh,241W,4.74
standard,steel,677.84,63.13,,nimh,252W,8.83
folding,carbon fiber,618.11,70.9,31.84,lead acid,229W,8.65
folding,aluminum,635.82,64.24,30.07,lead acid,252W,6.95
standard,aluminum,425.41,67.29,28.23,lead acid,232W,4.67
road,carbon fiber,218.01,70.55,25.2,nimh,352W,7.77
mountain,aluminum,501.65,50.37,14.7,lead acid,262W,4.89
standard,carbon fiber,353.68,77.3,18.4,li-ion,218W,7.26
standard,steel,283.14,48.82,25.96,li-ion,180W,3.69
standard,steel,352.18,41.0,19.24,li-ion,235W,8.39
standard,carbon fiber,693.45,64.84,26.18,lead acid,222W,5.56
road,aluminum,517.26,67.32,26.14,lead acid,273W,3.98
road,aluminum,447.32,75.15,20.3,lead acid,270W,4.46
folding,steel,233.62,70.46,29.66,lead acid,322W,4.96
folding,steel,657.13,63.17,25.05,li-ion,255W,7.29
mountain,steel,223.71,82.03,28.57,li-ion,262W,2.2
road,aluminum,492.05,34.29,28.35,lead acid,170W,7.87
road,aluminum,501.35,53.73,21.45,li-ion,313W,6.13
standard,carbon fiber,489.94,94.58,27.37,nimh,160W,7.14
road,aluminum,742.67,60.48,28.27,li-ion,262W,5.54
folding,carbon fiber,472.54,44.82,25.76,li-ion,276W,6.73
mountain,carbon fiber,213.81,65.17,25.67,li-ion,246W,4.42
road,aluminum,661.33,52.84,17.13,li-ion,289W,7.78
mountain,steel,763.68,67.07,21.99,li-ion,196W,6.03
mountain,carbon fiber,392.1,78.42,21.38,lead acid,219W,4.8
standard,steel,414.01,41.06,19.73,li-ion,259W,4.36
mountain,steel,444.32,47.57,24.98,nimh,188W,6.55
folding,carbon fiber,562.58,40.32,24.11,lead acid,300W,7.94
folding,aluminum,662.53,77.52,27.36,lead acid,148W,6.21
road,steel,361.78,95.22,25.35,lead acid,286W,6.04
mountain,steel,308.65,35.8,15.65,nimh,286W,7.15
standard,aluminum,359.38,64.39,17.78,lead acid,170W,3.25
mountain,STEel,645.12,52.65,20.38,nimh,283W,6.63
mountain,carbon fiber,369.28,54.27,19.54,li-ion,274W,8.06
standard,carbon fiber,775.09,82.71,25.38,lead acid,299W,7.07
road,carbon fiber,521.46,52.02,19.18,nimh,281W,7.3
mountain,steel,796.7,57.36,24.9,nimh,353W,10.02
standard,steel,281.64,59.03,23.78,lead acid,254W,5.06
mountain,aluminum,712.36,46.05,26.02,li-ion,261W,8.12
standard,aluminum,320.36,73.97,24.38,nimh,246W,6.78
standard,aluminum,493.55,58.9,31.73,nimh,153W,6.18
mountain,carbon fiber,448.52,41.94,,li-ion,241W,4.91
mountain,steel,660.43,40.51,18.59,li-ion,131W,9.24
folding,aluminum,794.3,65.67,30.36,nimh,302W,5.62
standard,aluminum,243.82,51.57,24.75,lead acid,265W,6.53
mountain,aluminum,332.97,75.16,19.01,li-ion,254W,8.69
mountain,carbon fiber,406.2,62.23,17.44,lead acid,214W,7.67
standard,steel,350.38,49.48,34.89,lead acid,267W,7.23
mountain,steel,440.42,69.21,40.77,li-ion,189W,4.87
mountain,steel,322.76,62.97,20.82,li-ion,142W,4.25
folding,carbon fiber,272.94,59.06,25.55,li-ion,257W,4.91
mountain,steel,761.58,67.75,21.09,li-ion,221W,6.4
road,carbon fiber,652.63,60.06,14.51,-,283W,7.64
mountain,aluminum,701.85,49.52,26.74,lead acid,201W,5.18
mountain,carbon fiber,439.82,67.7,17.87,li-ion,228W,5.08
road,carbon fiber,534.67,60.72,22.81,nimh,274W,6.08
mountain,steel,215.61,68.56,24.72,lead acid,267W,5.53
road,aluminum,753.18,65.69,32.31,nimh,213W,9.35
folding,aluminum,633.72,68.97,24.56,li-ion,293W,7.23
road,STEel,547.57,57.25,32.37,nimh,353W,7.1
standard,aluminum,287.94,50.15,21.79,nimh,340W,7.32
folding,aluminum,303.55,60.23,27.72,lead acid,177W,7.27
road,carbon fiber,598.6,39.25,19.49,nimh,246W,7.16
